KOTA,KATEGORI USAHA,TAHUN,JENIS KELAMIN,UMUR,PENDIDIKAN TERAKHIR,STATUS,JENIS LAPANGAN USAHA,KBLI,SERTIFIKASI,KLASIFIKASI USAHA,WILAYAH PEMASARAN UKM
PONOROGO,BATIK TULIS,2019,PEREMPUAN,28,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1313.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,"MEMBUAT RISOLES,GETUK CRISPY(FROZEN FOOD)",2014,LAKI-LAKI,50,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1075.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PONOROGO,TOSERBA PONTREN,2000,LAKI-LAKI,56,S1/ LEBIH,YAYASAN,PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4711.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,PENGRAJIN BATIK,2011,LAKI-LAKI,52,S1/ LEBIH,UD,INDUSTRI PENGOLAHAN,1313.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR PROVINSI"
PONOROGO,KULINER DAN PEMBUATAN GARAM BUMBU SERBAGUNA UYAH SANGA,2017,LAKI-LAKI,49,TAMAT SLTA,IUMK,PENYEDIAAN AKOMODASI DAN MAKAN MINUM,5610.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
PONOROGO,MINUMAN TRADISIONAL INDONESIA,2019,LAKI-LAKI,30,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PONOROGO,KONVEKSI,2011,PEREMPUAN,38,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1411.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR PROVINSI"
PONOROGO,MEMBUAT FROZEN FOOD (RISOLES ANEKA RASA DAN GETUK CRISPY) SAMBEL PECEL,2014,PEREMPUAN,43,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1075.0,"MERK, HALAL",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PONOROGO,BATIK,2020,PEREMPUAN,54,TAMAT D3,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1313.0,NUTRITION FACT/ UJI PRODUK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,MEMUAT WEDANG UWUH,2017,PEREMPUAN,65,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,MEMBUAT KUE,2017,PEREMPUAN,39,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,SERVIS LAPTOP/PC DAN PHOTOGRAPHY,2021,LAKI-LAKI,28,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),AKTIVITAS JASA LAINNYA,9512.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
PONOROGO,PRODUKSI BATIK CIPRAT,2016,PEREMPUAN,32,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1313.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI, LUAR NEGERI (EKSPOR)"
PONOROGO,MENGOLAH KACANG MENTE,2019,LAKI-LAKI,20,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,MEMBUAT KRIPIK PISANG,2010,PEREMPUAN,30,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PONOROGO,MAKANAN RINGAN,2018,PEREMPUAN,36,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1079.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI, LUAR NEGERI (EKSPOR)"
PONOROGO,KRUPUK BAWANG DAN TAS ANYAMAN,2019,LAKI-LAKI,33,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PONOROGO,MEMBUAT CIKRAK DAN TUSUK SATE,2019,LAKI-LAKI,25,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1629.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PONOROGO,PEMBUATAN ROTI JAHE DAN MACAM KERIPIK,1993,PEREMPUAN,35,TAMAT D3,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1071.0,"MERK, NUTRITION FACT/ UJI PRODUK",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,MEMBUAT ROTI,2000,PEREMPUAN,55,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1071.0,"MERK, HALAL",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,JUAL VCD,2009,LAKI-LAKI,27,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4773.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,SATE AYAM SETONO,2015,PEREMPUAN,42,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1013.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
TRENGGALEK,MEMBUAT BATIK,2015,PEREMPUAN,53,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1313.0,MERK,KECIL 1: OMSET SATU TAHUN ANTARA 300 - 1 MILYAR,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
TRENGGALEK,USAHA BATIK,2010,PEREMPUAN,47,TAMAT SLTP,UD,INDUSTRI PENGOLAHAN,1313.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
TRENGGALEK,MEMBUAT BATIK,2017,PEREMPUAN,49,TAMAT SLTP,IUMK,INDUSTRI PENGOLAHAN,1313.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR PROVINSI
TRENGGALEK,MEMBUAT KREASI BAKSO IKAN,2018,PEREMPUAN,28,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1061.0,"HALAL, NUTRITION FACT/ UJI PRODUK",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TRENGGALEK,MEMBUAT KUE,2018,PEREMPUAN,32,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TRENGGALEK,"MEMBUAT MUKENA, BAJU DAN KAIN DENGAN SENI KREASI OLAH KAIN",2019,PEREMPUAN,46,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1313.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
TRENGGALEK,MAKANAN RINGAN,2018,PEREMPUAN,32,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TRENGGALEK,PENGOLAHAN IKAN,2018,PEREMPUAN,28,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1021.0,HALAL,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TRENGGALEK,KOPI BUBUK,2019,LAKI-LAKI,30,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TRENGGALEK,KRIPIK USUS,2021,LAKI-LAKI,30,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TRENGGALEK,PHOTO COPY,2008,LAKI-LAKI,52,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1811.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TRENGGALEK,BERGERAK DI BIDANG LAUNDRY DAN CLEANING SERVICE,2012,LAKI-LAKI,36,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),AKTIVITAS JASA LAINNYA,9620.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,LOKAL KABUPATEN
TULUNGAGUNG,"PRODUKSI KAIN ECOPRINT, KAIN SHIBORI, DAN PRODUK TURUNANNYA",2014,PEREMPUAN,47,S1/ LEBIH,CV,INDUSTRI PENGOLAHAN,1313.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
TULUNGAGUNG,MEMBUAT KRIPIK TEMPE,2016,LAKI-LAKI,43,S1/ LEBIH,YAYASAN,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TULUNGAGUNG,ECOPRINT DAN SHIBORI,2010,PEREMPUAN,52,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1313.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
TULUNGAGUNG,CRAFT,2015,PEREMPUAN,54,S1/ LEBIH,IUMK,PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4778.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
TULUNGAGUNG,KRIPIK TEMPE,2016,LAKI-LAKI,44,S1/ LEBIH,YAYASAN,INDUSTRI PENGOLAHAN,1031.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TULUNGAGUNG,KERAJINAN BATIK MEMBUAT MASKER,2004,PEREMPUAN,45,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1313.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI, LUAR NEGERI (EKSPOR)"
TULUNGAGUNG,BATIK,2012,LAKI-LAKI,43,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1313.0,MERK,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
TULUNGAGUNG,PRODUKSI KAIN BATIK,2013,LAKI-LAKI,56,TAMAT SLTA,CV,INDUSTRI PENGOLAHAN,1313.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,ANTAR KABUPATEN
TULUNGAGUNG,"KERAJINANAN KAYU, ANYAMAN, BATIK",2010,LAKI-LAKI,50,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1629.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
TULUNGAGUNG,WARUNG SEDERHANA,2020,PEREMPUAN,42,TAMAT SD,PERSEORANGAN (BELUM ADA LEGALITAS),PENYEDIAAN AKOMODASI DAN MAKAN MINUM,5610.0,HALAL,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TULUNGAGUNG,USAHA WARUNG,2018,PEREMPUAN,38,TAMAT SLTP,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4711.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TULUNGAGUNG,SIMPAN PINJAM,2014,LAKI-LAKI,56,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),AKTIVITAS KEUANGAN DAN ASURANSI,6412.0,,KECIL 1: OMSET SATU TAHUN ANTARA 300 - 1 MILYAR,ANTAR KABUPATEN
TULUNGAGUNG,KONVEKSI TAS,2015,LAKI-LAKI,35,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1411.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TULUNGAGUNG,MEMBUAT KRIPIK TERONG,2018,PEREMPUAN,47,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
TULUNGAGUNG,PRODUKSI TAS,2016,LAKI-LAKI,34,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1413.0,"MERK, MD/ BPOM",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
TULUNGAGUNG,PRODUKSI SNACK RINGAN,2016,LAKI-LAKI,34,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"ANTAR KABUPATEN, LUAR NEGERI (EKSPOR)"
TULUNGAGUNG,SNACK,2010,PEREMPUAN,0,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
TULUNGAGUNG,MAKANAN RINGAN,2016,PEREMPUAN,0,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BLITAR,MEMBUAT KRIPIK PISANG,2015,LAKI-LAKI,39,TAMAT SLTP,IUMK,INDUSTRI PENGOLAHAN,,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BLITAR,PEMBUATAN KERAJINAN BATOK KELAPA,2020,LAKI-LAKI,25,S1/ LEBIH,CV,INDUSTRI PENGOLAHAN,3290.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,MEMBUAT ANEKA OLAHAN IKAN,2019,PEREMPUAN,34,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1021.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BLITAR,TENUN IKAT DAN CRAFT,2018,PEREMPUAN,44,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1413.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI, LUAR NEGERI (EKSPOR)"
BLITAR,MEMBUAT SUSU KACANG HIJAU,2018,PEREMPUAN,29,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,MEMBUAT KERAJINAN BATU MARMER/KIJINGAN,2020,PEREMPUAN,43,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,2396.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,PRODUKSI TAS,2019,PEREMPUAN,51,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1413.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,MEMBUAT BATIK,2019,PEREMPUAN,34,TAMAT SD,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1313.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR PROVINSI
BLITAR,MENJAHIT BAJU/MASKER,2019,PEREMPUAN,54,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1412.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,PEMBUATAN BROS,2019,PEREMPUAN,31,TAMAT SLTP,IUMK,INDUSTRI PENGOLAHAN,2599.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,MEMBUAT CEMILAN CARANG MADU,2014,PEREMPUAN,38,TAMAT SLTP,IUMK,INDUSTRI PENGOLAHAN,1077.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,MEMBUAT OLAHAN TAHU,2018,PEREMPUAN,25,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,JASA DAN MAMIN,1990,PEREMPUAN,52,TAMAT SLTP,IUMK,AKTIVITAS JASA LAINNYA,,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BLITAR,PERACIKAN TEPUNG BUMBU SERBAGUNA,2020,PEREMPUAN,51,TAMAT D3,IUMK,INDUSTRI PENGOLAHAN,1077.0,MD/ BPOM,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BLITAR,BUDIDAYA IKAN AIR TAWAR,2006,LAKI-LAKI,47,TAMAT D3,YAYASAN,"PERTANIAN, KEHUTANAN & PERIKANAN",322.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
BLITAR,PEMBUATAN BROS,2019,PEREMPUAN,31,TAMAT SLTP,PERSEORANGAN (BELUM ADA LEGALITAS),AKTIVITAS KEUANGAN DAN ASURANSI,,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
BLITAR,MEMPRODUKSI ANEKA KRIPIK SAYUR DAN MEMBUAT MEDIA JAMUR,2015,PEREMPUAN,0,TAMAT SLTP,IUMK,INDUSTRI PENGOLAHAN,1079.0,HALAL,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,MEMBUAT SUSU KACANG HIJAU,2018,PEREMPUAN,29,TAMAT SLTA,IUMK,PENYEDIAAN AKOMODASI DAN MAKAN MINUM,,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,PRODUKSI TAS DAN DOMPET,2019,PEREMPUAN,50,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1512.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,LOKAL KABUPATEN
BLITAR,MEMBUAT CAMILAN CARANG MADU,2014,PEREMPUAN,38,TAMAT SLTP,IUMK,PENYEDIAAN AKOMODASI DAN MAKAN MINUM,,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,MENJAHIT,2019,PEREMPUAN,54,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1412.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BLITAR,MEMBUAT KERAJINAN DAN AKSESORIS,2017,PEREMPUAN,33,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1413.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI, LUAR NEGERI (EKSPOR)"
KEDIRI,MEMBUAT KUE KERING DAN BASAH,2017,PEREMPUAN,47,S1/ LEBIH,IUMK,AKTIVITAS JASA LAINNYA,,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
KEDIRI,MEMBUAT BAWANG GORENG,2017,PEREMPUAN,25,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1031.0,"MERK, NUTRITION FACT/ UJI PRODUK",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR PROVINSI
KEDIRI,MEMBUAT KERIPIK GADUNG,2017,LAKI-LAKI,42,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1031.0,"MERK, HALAL",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
KEDIRI,KUE KERING (LEBARAN SAJA),2017,PEREMPUAN,44,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1071.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
KEDIRI,"KRIPIK PISANG KEPOK, KRIPKBAYAM",2012,PEREMPUAN,42,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1031.0,"MERK, HALAL",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
KEDIRI,MEMBUAT KRIPIK GOTHE,2016,PEREMPUAN,49,TAMAT D3,IUMK,INDUSTRI PENGOLAHAN,1031.0,"MERK, HALAL",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
KEDIRI,PRODUKSI MINUMAN INSTAN HERBAL,2018,PEREMPUAN,39,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1076.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
KEDIRI,PRODUKSI PIZZA DAN TEMPE,2020,LAKI-LAKI,42,TAMAT D3,IUMK,INDUSTRI PENGOLAHAN,1079.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
KEDIRI,MEMBUAT MINUMAN RASA NANAS,2019,PEREMPUAN,42,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1039.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
KEDIRI,TEPUNG KETELA POHON DAN SABUN CUCI PIRING,2015,LAKI-LAKI,50,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1061.0,MERK,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
KEDIRI,KRIPIK PISANG,2017,PEREMPUAN,44,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1031.0,"MERK, HALAL",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
KEDIRI,KONVEKSI / JASA JAHITAN & BORDIR,2012,PEREMPUAN,50,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1430.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
